Feature,unstablesid,testingtrixie,12-bookworm,11-bullseye,10-buster,9-stretch,8.0-jessie,7.0-wheezy,6.0-squeeze,5.0-lenny,4.0-etch,3.1-sarge,3.0-woody,2.2-potato,2.1-slink,2.0-hamm,1.3-bo,1.2-rex,1.1-buzz
Release Date,2023-10-07,2023-06-11,2023-06-10,2021-08-14,2019-07-06,2017-06-18,2015-04-26,2013-05-04,2011-02-06,2009-02-15,2007-04-08,2005-06-06,2002-07-19,2000-08-15,1999-03-09,1998-07-23,1997-06-05,1996-12-12,1996-06-17
End Of Life,NA,NA,NA,NA,NA,NA,2020-07,2018-05,2016-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
Image Size (MB),NA,NA,NA,300-3700,300-3700,300-3700,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://www.debian.org/CD,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/,http://archive.debian.org/debian/dists/
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode,Text mode
Default Desktop,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,NA,NA,NA,NA
Package Management,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB
Release Model,Rolling,Semi,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,"Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, KOffice, LibreOffice","Calligra, GOffice, KOffice, LibreOffice","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o",KOffice,--,--,--,--,--,--
Processor Architecture,"amd64, aarch64, armel, armhf, i686, mips64el, ppc64el, s390x","amd64, aarch64, armel, armhf, i686, mipsel, mips64el, ppc64el, s390x","amd64, aarch64, armel, armhf, i686, mipsel, mips64el, ppc64el, s390x","amd64, aarch64, armel, armhf, i686, mipsel, mips64el, ppc64el, s390x","amd64, aarch64, armel, armhf, i386, mips, mipsel, mips64el, ppc64el, s390x","amd64, arm64, armel, armhf, i386, mips, mips64el, ppc64el, s390x","amd64, arm64, armel, armhf, i386, mips, mipsel, powerpc, ppc64el, s390x","amd64, armel, i386, ia64, mips, mipsel, powerpc, s390x, sparc","amd64, armel, i386, ia64, mips, mipsel, powerpc, s390, sparc","amd64, alpha, arm, armel, hppa, i386, ia64, mips, mipsel, powerpc, s390, sparc","amd64, alpha, arm, hppa, i386, ia64, m68k, mips, mipsel, powerpc, s390, sparc","alpha, arm, hppa, i386, ia64, m68k, mips, powerpc, s390, sparc","alpha, arm, hppa, i386, ia64, m68k, mips, powerpc, s390, sparc",NA,NA,NA,NA,NA,NA
Init Software,systemd,systemd,systemd,systemd,systemd,systemd,systemd,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV,SysV
Journaled File Systems,"Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","Btrfs, ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, JFS, ReiserFS, XFS","ext3, ReiserFS",NA,NA,NA,NA,NA,NA
Multilingual,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Asian Language Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw","cn, jp, kr, tw"
Number of Packages,95600,66915,65787,60829,59013,52849,57991,48627,36103,28079,23144,16857,8274,2976,1843,1330,887,534,403
