Feature,23-libretto,21.3-wildflower,19.4,18.3,17.1,16.1
Release Date,2023-07-31,2023-01-15,2021-04-01,2019-05-27,2018-03-14,2017-06-08
End Of Life,2028-06,2026-06,NA,2022-06,2022-06,2020-06
Price (US$),Free,Free,Free,Free,Free,Free
Image Size (MB),1600-2500,1400-2300,1500-1900,1300-1500,1200-1300,1100-1300
Free Download,https://sourceforge.net/projects/mx-linux/files/,https://sourceforge.net/projects/mx-linux/files/,https://sourceforge.net/projects/mx-linux/files/Final/MX-19.4/,https://sourceforge.net/projects/mx-linux/files/Final/MX-18.3/,https://sourceforge.net/projects/mx-linux/files/Final/MX-17.1/,https://sourceforge.net/projects/mx-linux/files/Final/MX-16.1/
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical
Default Desktop,"Fluxbox, KDE Plasma, Xfce","Fluxbox, KDE Plasma, Xfce","KDE Plasma, Xfce",Xfce,Xfce,Xfce
Package Management,DEB,DEB,DEB,DEB,DEB,DEB
Release Model,Semi-Rolling,Semi-Rolling,Semi-Rolling,Semi-Rolling,Semi-Rolling,Fixed
Office Suite,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice
Processor Architecture,"i386, x86_64","i386, x86_64","armhf, i386, x86_64","i386, x86_64","i386, x86_64","i386, x86_64"
Init Software,"systemd, SysV","systemd, SysV","systemd, SysV","systemd, SysV",SysV,SysV
Journaled File Systems,"ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS","ext3, ext4, JFS, ReiserFS, XFS"
Multilingual,"en, ca, cs, de, es, fr, hu, nl, pt_br","en, ca, cs, de, es, fr, hu, nl, pt_br","en, ca, cs, de, es, fr, hu, nl, pt_br","en, ca, cs, de, es, fr, hu, nl, pt_br","en, ca, cs, de, es, fr, hu, nl, pt_br","en, ca, cs, de, es, fr, hu, nl, pt_br"
Asian Language Support,--,--,--,--,--,--
Number of Packages,2902,2681,2742,1931,1850,1783
