Feature,tumbleweed,15.5,15.0,42.3,42.2,42.1,13.2,13.1,12.3,12.2,12.1,11.4,11.3,11.2,11.1,11.0,10.3,10.2,10.1,10.0,9.3,9.2,9.1,9.0,8.2,8.1,8.0,7.3,7.2,7.1,7.0,6.4,6.3,6.2,6.1,6.0,5.3,5.2
Release Date,2023-10-06,2023-06-07,2018-05-25,2017-07-26,2016-11-16,2015-11-04,2014-11-04,2013-11-19,2013-03-13,2012-09-05,2011-11-16,2011-03-10,2010-07-15,2009-11-12,2008-12-18,2008-06-19,2007-10-04,2006-12-07,2006-05-11,2005-10-06,2005-04-15,2004-10-25,2004-04-23,2003-10-15,2003-04-07,2002-09-30,2002-04-22,2001-10-13,2001-06-15,2001-01-24,2000-09-27,2000-03-09,1999-11-05,1999-08-12,1999-04-07,1998-12-21,1998-09-10,1998-03-23
End Of Life,NA,2024-12,2019-11,2019-06,2018-01,2017-05,2017-01,2016-01,2015-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,60,60,60,60,60,50,50,100,90,30 - 90,40 - 80,40 - 80,40 - 80,40 - 80,40 - 80,30 - 70,30 - 70,NA,NA,NA,NA,NA,NA,NA,NA
Image Size (MB),NA,140-4300,100-3800,100-4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://software.opensuse.org/,http://download.opensuse.org/distribution/leap/,http://download.opensuse.org/distribution/leap/,http://download.opensuse.org/distribution/leap/42.3/iso/,http://download.opensuse.org/distribution/leap/42.2/iso/,http://download.opensuse.org/distribution/leap/42.1/iso/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://software.opensuse.org/,http://www.novell.com/products/linuxprofessional/downloads/ftp/int_mirrors.html,http://www.novell.com/products/linuxprofessional/downloads/ftp/int_mirrors.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,http://www.suse.com/us/private/download/index.html,NA,NA,NA,NA,NA,NA,NA
Installation,"Graphical, Text","Graphical, Text",Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,NA,NA,NA,NA,NA
Default Desktop,"GNOME, KDE Plasma, Xfce","GNOME, KDE Plasma","GNOME, KDE Plasma",KDE Plasma,KDE Plasma,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,"GNOME, KDE","GNOME, KDE","GNOME, KDE","GNOME, KDE","GNOME, KDE",KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,KDE,NA
Package Management,RPM (zypper),RPM (zypper),RPM (zypper),RPM (zypper),RPM (zypper),RPM (zypper),RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM,RPM
Release Model,Rolling,"Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling","Fixed, Rolling"
Office Suite,"Calligra, GOffice, LibreOffice",LibreOffice,LibreOffice,"Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, GOffice, LibreOffice","Calligra, LibreOffice",LibreOffice,LibreOffice,"GOffice, LibreOffice","GOffice, KOffice, LibreOffice","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","GOffice, KOffice, OO.o","KOffice, OO.o","KOffice, OO.o","KOffice, OO.o","KOffice, OO.o, StarOffice","KOffice, StarOffice","KOffice, StarOffice","KOffice, StarOffice",StarOffice,StarOffice,StarOffice,NA,NA,NA,NA,NA
