Feature,snapshotmantic,23.04-lunar,22.10-kinetic,22.04 LTSjammy,21.10-impish,21.04-hirsute,20.10-groovy,20.04 LTSfocal,19.10-eoan,19.04-disco,18.10-cosmic,18.04 LTSbionic,17.10-artful,17.04-zesty,16.10-yakkety,16.04 LTSxenial,15.10-wily,15.04-vivid,14.10-utopic,14.04 LTStrusty,13.10-saucy,13.04-raring,12.10-quantal,12.04 LTSprecise,11.10-oneiric,11.04-natty,10.10-maverick,10.04 LTSlucid,9.10-karmic,9.04-jaunty,8.10-intrepid,8.04 LTShardy,7.10-gutsy,7.04-feisty,6.10-edgy,6.06 LTSdapper,5.10-breezy,5.04-hoary,4.10-warty
Release Date,2023-10-06,2023-04-20,2022-10-20,2022-04-21,2021-10-14,2021-04-22,2020-10-22,2020-04-23,2019-10-17,2019-04-18,2018-10-18,2018-04-26,2017-10-19,2017-04-13,2016-10-13,2016-04-21,2015-10-22,2015-04-23,2014-10-23,2014-04-17,2013-10-17,2013-04-25,2012-10-18,2012-04-26,2011-10-13,2011-04-28,2010-10-10,2010-04-29,2009-10-29,2009-04-23,2008-10-30,2008-04-24,2007-10-18,2007-04-19,2006-10-26,2006-06-01,2005-10-13,2005-04-08,2004-10-20
End Of Life,NA,2024-01,2023-07,2027-04,2022-07,2022-01,2021-07,2025-04,2020-07,2020-01,2019-07,2023-04,2018-07,2018-01,2017-07,2021-04,2016-07,2016-01,2015-07,2019-04,2014-07,2014-01,2014-05,2017-04,2013-05,2012-10,2012-04,2013-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Price (US$),Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free,Free
Image Size (MB),NA,2500-4800,1500-3900,1300-3500,900-3000,900-2900,900-2900,800-2400,700-2000,800-1900,800-1900,800-1900,743-1432,682-1557,553-1536,796-1533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Free Download,http://cdimage.ubuntu.com/daily-live/current/,http://releases.ubuntu.com/23.04/,http://releases.ubuntu.com/22.10/,http://releases.ubuntu.com/22.04/,http://releases.ubuntu.com/21.10/,http://releases.ubuntu.com/21.04/,http://releases.ubuntu.com/20.10/,http://releases.ubuntu.com/20.04/,http://releases.ubuntu.com/19.10/,http://releases.ubuntu.com/19.04/,http://releases.ubuntu.com/18.10/,http://releases.ubuntu.com/18.04/,http://releases.ubuntu.com/17.10/,http://releases.ubuntu.com/17.04/,http://releases.ubuntu.com/16.10/,http://releases.ubuntu.com/16.04/,http://releases.ubuntu.com/15.10/,http://releases.ubuntu.com/15.04/,http://releases.ubuntu.com/14.10/,http://releases.ubuntu.com/14.04/,http://releases.ubuntu.com/13.10/,http://releases.ubuntu.com/13.04/,http://releases.ubuntu.com/12.10/,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download,http://www.ubuntu.com/download/ubuntu/download
Installation,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Graphical,Text mode,Text mode,Text mode
Default Desktop,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,Unity,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME,GNOME
Package Management,DEB,"DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap","DEB (apt), snap",DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB,DEB
Release Model,Rolling,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed,Fixed
Office Suite,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,LibreOffice,OO.o,"GOffice, OO.o",OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o,OO.o
