MX Linux,8.14
Linux Mint,8.73
EndeavourOS,8.46
Debian,8.84
Manjaro Linux,8.07
Ubuntu,7.85
Pop!_OS,7.92
Fedora,8.22
openSUSE,8.7
Linux Lite,8.14
Zorin OS,8.36
Garuda Linux,8.32
KDE neon,8.42
antiX,8.12
elementary OS,4.89
Mageia,8.41
Kali Linux,8.73
Puppy Linux,7.65
Nobara Project,8.36
PCLinuxOS,8.19
Vanilla OS,6.53
AlmaLinux OS,7.88
SparkyLinux,8.72
ArcoLinux,8.51
EasyOS,8.92
Alpine Linux,9.04
Q4OS,8.62
NixOS,8.96
FreeBSD,8.71
CachyOS,8.79
Peppermint OS,7.6
blendOS,4.78
Voyager Live,8.0
Bodhi Linux,8.9
Devuan GNU+Linux,9.23
Kubuntu,8.35
Solus,7.44
Gnoppix Linux,6.8
Lubuntu,7.62
Bluestar Linux,5.41
SmartOS,7.0
Tails,4.81
TUXEDO OS,8.32
Regata OS,8.22
Rocky Linux,8.82
Slackware Linux,8.99
OpenMandriva Lx,8.31
siduction,8.0
XeroLinux,8.3
Archcraft,8.63
Parrot,8.43
PureOS,6.63
Murena,9.0
CentOS,4.47
Linuxfx,6.23
Xubuntu,8.1
Qubes OS,8.77
Gentoo Linux,8.28
Red Hat Enterprise Linux,6.83
Neptune,8.96
KaOS,6.05
Tiny Core Linux,6.7
EuroLinux,4.67
Arch Linux,9.22
Clear Linux,7.8
Mabox Linux,9.04
Athena OS,8.0
wattOS,8.4
TrueNAS,9.02
ReactOS,5.71
Endless OS,5.8
4MLinux,8.0
Artix Linux,9.23
deepin,7.77
Archman GNU/Linux,9.36
MakuluLinux,6.73
GhostBSD,7.24
helloSystem,4.83
Ubuntu MATE,8.24
ALT Linux,8.63
Void,9.3
Nitrux,4.11
Feren OS,8.77
Proxmox,8.82
Oracle Linux,7.82
ExTiX,3.69
OpenBSD,8.43
Emmabuntüs,8.88
LXLE,8.5
Ubuntu Studio,8.27
Absolute Linux,4.83
NuTyX,8.0
ROSA,8.19
GeckoLinux,8.54
Haiku,7.19
Linux Kodachi,7.98
SpiralLinux,8.7
AV Linux,8.29
Whonix,9.64
